car_model,year_of_make,car_age_years,mileage_km,primary_action,service_notes
Mahindra Thar,2020.0,5.0,35000,Checkup,"Mahindra Thar 2021. 35,000 km. Checkup after Ladakh trip. Found minor underbody scrapes. No major damage. All fluids checked."
VW Taigun,2020.0,5.0,30000,Spark Plug Replacement,"VW Taigun 1.5 TSI. 30,000 km service. Replaced spark plugs, oil, and filters."
Toyota Urban Cruiser,2020.0,5.0,25000,Checkup,"Toyota Urban Cruiser. 25,000 km. General service. Same as Baleno."
Kia Sonet,2020.0,5.0,40000,Filter Replacement,"Kia Sonet diesel. 40,000 km. Replaced diesel filter. Clogged."
Ford Ecosport,2020.0,5.0,80000,Timing Belt Replacement,"Ford Ecosport. 80,000 km service. Changed timing belt and tensioner."
Hyundai Alcazar,2020.0,5.0,30000,Checkup,"Hyundai Alcazar Petrol. 30,000 km. Standard service. No issues."
Maruti Ciaz,2020.0,5.0,90000,Suspension Repair,"Maruti Ciaz. 90,000 km. Suspension work. Replaced front struts."
Tata Safari,2020.0,5.0,30000,Checkup,"Tata Safari 2022. 30,000 km. AdBlue top-up required. Performed service."
Honda Accord Hybrid,2020.0,5.0,70000,Checkup,"Honda Accord Hybrid. 70,000 km. Check hybrid battery health. All good. General service."
Mahindra Bolero Neo,2020.0,5.0,20000,Checkup,"Mahindra Bolero Neo. 20,000 km. Service and checkup."
Renault Duster,2020.0,5.0,95000,Clutch Replacement,"Renault Duster AWD. 95,000 km. Replaced clutch and pressure plate. Also changed AWD fluid."
VW Polo GT,2020.0,5.0,80000,Engine Cleaning,"VW Polo GT. 80,000 km. Carbon cleaning for engine valves."
Toyota Hilux,2020.0,5.0,25000,Oil Change,"Toyota Hilux. 25,000 km. Customer uses it on a farm. Very dirty. Cleaned air filter thoroughly. Oil changed."
Kia Carnival,2020.0,5.0,40000,Filter Replacement,"Kia Carnival. 40,000 km. Replaced cabin filter. Customer complained of bad smell from AC."
Ford Freestyle,2020.0,5.0,65000,Brake Replacement,"Ford Freestyle. 65,000 km. Replaced front brake rotors and pads. Rotors were warped."
Hyundai Aura,2020.0,5.0,40000,Filter Replacement,"Hyundai Aura CNG. 40,000 km. CNG filter and spark plug replacement."
Maruti S-Presso,2020.0,5.0,20000,Oil Change,"Maruti S-Presso. 20,000 km. Second service. Oil change."
Tata Tiago,2020.0,5.0,50000,Coolant Replacement,"Tata Tiago. 50,000 km service. Replaced coolant."
Honda CR-V,2020.0,5.0,105000,Fluid Top-up,"Honda CR-V. 105,000 km. Power steering fluid was low. Topped up."
Mahindra KUV100,2020.0,5.0,60000,Checkup,"Mahindra KUV100. 60,000 km. General service. Washed."
Renault Kiger,2020.0,5.0,20000,Oil Change,"Renault Kiger Turbo. 20,000 km. Oil service."
VW Virtus GT,2020.0,5.0,15000,Checkup,"VW Virtus GT. 15,000 km. Checkup. No issues."
Toyota Camry Hybrid,2020.0,5.0,60000,Brake Service,"Toyota Camry Hybrid. 60,000 km. Hybrid system check. All cells balanced. Brake fluid replaced."
Kia EV6,2020.0,5.0,20000,Tire Rotation,"Kia EV6. 20,000 km. Tire rotation and brake check. Pads have minimal wear."
Ford Endeavour,2020.0,5.0,100000,Transmission Service,"Ford Endeavour 3.2. 100,000 km. Major service. Changed transmission fluid, differential oil, and all filters."
Hyundai Kona Electric,2020.0,5.0,35000,Fluid Top-up,"Hyundai Kona Electric. 35,000 km. Coolant for battery system was low. Topped up."
Maruti Grand Vitara,2020.0,5.0,15000,Checkup,"Maruti Grand Vitara Hybrid. 15,000 km. Service done."
Tata Nexon EV Max,2020.0,5.0,25000,Software Update,"Tata Nexon EV Max. 25,000 km. General checkup. Updated software."
Honda City,2020.0,5.0,85000,Suspension Repair,"Honda City 4th Gen. 85,000 km. Suspension overhaul. Replaced all 4 shock absorbers."
Mahindra XUV700,2020.0,5.0,25000,Checkup,"Mahindra XUV700 AWD. 25,000 km. Service."
Renault Triber,2020.0,5.0,40000,Spark Plug Replacement,"Renault Triber. 40,000 km. Replaced spark plugs."
VW Tiguan Allspace,2020.0,5.0,50000,Checkup,"VW Tiguan Allspace. 50,000 km. Service."
Toyota Fortuner,2020.0,5.0,150000,Engine Cleaning,"Toyota Fortuner. 150,000 km. Injector cleaning performed."
Kia Seltos,2020.0,5.0,75000,Checkup,"Kia Seltos. 75,000 km. Turbo inspection. All ok."
Ford Mustang GT,2020.0,5.0,30000,Tire Replacement,"Ford Mustang GT. 30,000 km. Replaced rear tires. Customer does burnouts."
Hyundai Verna,2020.0,5.0,90000,Checkup,"Hyundai Verna Diesel. 90,000 km. Timing chain inspected. No noise. Good for now."
Maruti Ignis,2020.0,5.0,45000,Wheel Alignment,"Maruti Ignis. 45,000 km. Wheel alignment done."
Tata Harrier,2020.0,5.0,60000,Checkup,"Tata Harrier. 60,000 km. Major service."
Honda Civic,2020.0,5.0,50000,Transmission Service,"Honda Civic 10th Gen. 50,000 km. CVT fluid change."
Mahindra Marazzo,2020.0,5.0,70000,Brake Replacement,"Mahindra Marazzo. 70,000 km. Replaced brake pads."
Renault Lodgy,2020.0,5.0,80000,Timing Belt Replacement,"Renault Lodgy. 80,000 km. Timing belt changed. Water pump also."
VW Ameo,2020.0,5.0,60000,Engine Cleaning,"VW Ameo Diesel. 60,000 km. EGR cleaning."
Toyota Corolla,2020.0,5.0,120000,Suspension Repair,"Toyota Corolla. 120,000 km. Replaced all 4 struts."
Ford Fiesta Classic,2020.0,5.0,110000,Checkup,"Ford Fiesta Classic. 110,000 km. General service."
Hyundai Elantra,2020.0,5.0,80000,Engine Cleaning,"Hyundai Elantra Petrol. 80,000 km. Throttle body cleaning."
Maruti XL6,2020.0,5.0,40000,Tire Rotation,"Maruti XL6. 40,000 km. Service and tire rotation."
Tata Tigor EV,2020.0,5.0,20000,Checkup,"Tata Tigor EV. 20,000 km. Checkup."
Honda BR-V,2020.0,5.0,70000,Battery Replacement,"Honda BR-V. 70,000 km. Replaced battery."
Mahindra TUV300 Plus,2020.0,5.0,80000,Checkup,"Mahindra TUV300 Plus. 80,000 km. Service."
Renault Scala,2020.0,5.0,60000,Transmission Service,"Renault Scala. 60,000 km. CVT oil change."
VW Jetta,2020.0,5.0,110000,DPF Service,"VW Jetta Diesel. 110,000 km. DPF manually regenerated."
Toyota Prius,2020.0,5.0,80000,Coolant Replacement,"Toyota Prius. 80,000 km. Hybrid coolant changed."
Ford Figo Aspire,2020.0,5.0,55000,Clutch Repair,"Ford Figo Aspire. 55,000 km. Clutch feels spongy. Bled clutch line."
Hyundai Santro Xing,2020.0,5.0,70000,Checkup,"Hyundai Santro Xing. 70,000 km. Service."
Maruti Wagon R,2020.0,5.0,80000,CNG Service,"Maruti Wagon R CNG. 80,000 km. CNG servicing done."
Tata Indica Vista,2020.0,5.0,110000,Engine Repair,"Tata Indica Vista. 110,000 km. Head gasket work."
Honda Mobilio,2020.0,5.0,85000,Suspension Repair,"Honda Mobilio. 85,000 km. Replaced front lower arms."
Mahindra Quanto,2020.0,5.0,90000,Checkup,"Mahindra Quanto. 90,000 km. General service. Nothing major."
Renault Pulse,2020.0,5.0,50000,Brake Replacement,"Renault Pulse. 50,000 km. Replaced brake pads."
VW Beetle,2020.0,5.0,40000,Checkup,"VW Beetle. 40,000 km. Service. Customer requested premium oil."
Toyota Etios Liva,2020.0,5.0,100000,Clutch Replacement,"Toyota Etios Liva. 100,000 km. Replaced clutch plate and pressure plate."
Ford Fusion,2020.0,5.0,130000,Checkup,"Ford Fusion Diesel. 130,000 km. Service. Engine is still smooth."
Hyundai Eon,2020.0,5.0,50000,Checkup,"Hyundai Eon. 50,000 km. Service."
Maruti Alto K10,2020.0,5.0,70000,Clutch Repair,"Maruti Alto K10. 70,000 km. Clutch cable snapped. Replaced."
Tata Nano,2020.0,5.0,40000,AC Service,"Tata Nano Twist. 40,000 km. AC check."
Honda Brio,2020.0,5.0,60000,Brake Service,"Honda Brio. 60,000 km. Replaced brake fluid."
Mahindra Verito,2020.0,5.0,100000,Checkup,"Mahindra Verito. 100,000 km. Service."
Renault Fluence,2020.0,5.0,90000,Timing Belt Replacement,"Renault Fluence Diesel. 90,000 km. Timing belt and water pump replaced."
Toyota Etios Cross,2020.0,5.0,80000,Suspension Repair,"Toyota Etios Cross. 80,000 km. Suspension check."
Ford Ikon,2020.0,5.0,150000,Checkup,"Ford Ikon 1.6. 150,000 km. Still runs great. General service."
Hyundai Accent,2020.0,5.0,120000,Checkup,"Hyundai Accent. 120,000 km. General service."
Maruti Zen Estilo,2020.0,5.0,90000,Checkup,"Maruti Zen Estilo. 90,000 km. Service."
Tata Sierra,2020.0,5.0,165000,Body Repair,"Tata Sierra Turbo. 180,000 km. Rust repair on body panel."
Mahindra Armada Grand,2020.0,5.0,165000,Engine Repair,"Mahindra Armada Grand. 250,000 km. Engine overhaul."
Renault Logan,2020.0,5.0,110000,Timing Belt Replacement,"Renault Logan. 110,000 km. Replaced timing belt."
VW Touareg,2020.0,5.0,90000,Suspension Repair,"VW Touareg. 90,000 km. Air suspension check."
Toyota Qualis,2020.0,5.0,165000,Oil Change,"Toyota Qualis. 350,000 km. Just needs oil and diesel to run."
Maruti Swift,2020.0,5.0,55234,Brake Replacement,"Routine checkup for Maruti Swift, 2018 model. Odo reads 55,234 km. Customer says brakes feel weak. Found pads are low, rotors have scoring. Replaced front brake pads and rotors."
Hyundai Creta,2020.0,5.0,80000,Filter Replacement,"Hyundai Creta Diesel. 80,000 kms service. Replaced all filters including the diesel filter. Engine oil changed. Customer also asked for an interior deep clean."
Tata Nexon,2020.0,5.0,41000,Engine Repair,"Tata Nexon owner reported a 'check engine' light. Vehicle is at 41,000 km. Diagnostic scan shows an issue with the turbo actuator. Recalibrated actuator. Light is off now."
Honda City,2020.0,5.0,20112,Oil Change,"Honda City, 2021 model. Mileage is 20,112. Second free service. Standard oil and filter change. Also performed tire rotation. All good."
Kia Seltos,2020.0,5.0,30000,Body Repair,"Kia Seltos GT line. 30,000 km. Customer complained of rattling sound from sunroof. Inspected and lubricated the sunroof mechanism. Sound gone."
Ford Ecosport,2020.0,5.0,72000,Battery Replacement,"Car not starting - Ford Ecosport with 72,000 km. Found dead battery. Original battery lasted 5 years. Replaced with a new one."
Toyota Innova,2020.0,5.0,160500,Timing Belt Replacement,"Major service for Toyota Innova. Odo: 1,60,500 km. Besides regular oil change, the timing belt was replaced as per schedule. Costly but critical."
